[2026-04-04T17:23:11.162Z] [info] TCP server scaffold ready
[2026-04-04T17:23:11.184Z] [info] Backend listening {"host":"127.0.0.1","port":8083,"supabase":true}
[2026-04-04T17:23:12.170Z] [info] HTTP request {"method":"GET","path":"/gameCode1_00.aspx","bytes":0}
[2026-04-04T17:23:13.336Z] [info] Game action served {"action":"updatedefaultcar","source":"supabase:updatedefaultcar:invalid-car","decodedQuery":"action=updatedefaultcar&aid=6&sk=f8d661b4-bc05-4394-89c1-1829d66c3ff6&acid=44"}
[2026-04-04T17:23:14.714Z] [info] HTTP request {"method":"GET","path":"/gameCode1_00.aspx","bytes":0}
[2026-04-04T17:23:15.503Z] [info] Game action served {"action":"updatedefaultcar","source":"supabase:updatedefaultcar:invalid-car","decodedQuery":"action=updatedefaultcar&aid=6&sk=f8d661b4-bc05-4394-89c1-1829d66c3ff6&acid=41"}
[2026-04-04T17:23:23.276Z] [info] HTTP request {"method":"GET","path":"/gameCode1_00.aspx","bytes":0}
[2026-04-04T17:23:24.238Z] [info] Game action served {"action":"getallcars","source":"supabase:getallcars","decodedQuery":"action=getallcars&aid=6&sk=f8d661b4-bc05-4394-89c1-1829d66c3ff6"}
[2026-04-04T17:23:24.761Z] [info] HTTP request {"method":"GET","path":"/healthz","bytes":0}
[2026-04-04T17:23:25.106Z] [info] HTTP request {"method":"GET","path":"/gameCode1_00.aspx","bytes":0}
[2026-04-04T17:23:25.821Z] [info] Game action served {"action":"getallcars","source":"supabase:getallcars","decodedQuery":"action=getallcars&aid=6&sk=f8d661b4-bc05-4394-89c1-1829d66c3ff6"}
[2026-04-04T17:24:23.416Z] [info] HTTP request {"method":"GET","path":"/gameCode1_00.aspx","bytes":0}
[2026-04-04T17:24:24.489Z] [info] Game action served {"action":"getallcars","source":"supabase:getallcars","decodedQuery":"action=getallcars&aid=1&sk=2c9773ff-2d27-41cd-937f-cd75d0694118"}
[2026-04-04T17:24:39.854Z] [info] HTTP request {"method":"GET","path":"/gameCode1_00.aspx","bytes":0}
[2026-04-04T17:24:40.601Z] [info] Loaded fixture records {"keys":257,"files":3}
